misspelled,correct

writings,writtings
disparagingly,disparingly
yellow,yello
woods,woodes
hanging,haing
aggression,agression
adaptable,adabtable
immature,imature
swivel,swival
appropriation,apropriation
stabbed,stabed
Southwold,Suothwode
guardsmen,gards_men
incremented,increented
pulse,pluse
jamjar,jam_jar
blouse,boludes
thunder,thounder
fossil,fosscil
hero,heroe
dahl,dael
interrupting,interupting
atoms,atom
tape-recorded,tape_recorded
shriek,shreik
substance,substace
elaborate,elaberate
reports,reoprts
etiology,eitiology
snowing,showing
sines,sinse
subtracts,substracts
there_had,therad
criticise,critisize
sweetest,sweetes
remnant,reminent
sizeable,sizable
opponents,oppenerts
browse,bbrose
telegraph,telagraph
relax,relacks
reversible,reversable
tying,tieing
circumstances,circumstaces
accomplishment,acomplishment
apologetics,apolegetics
locker,loker
household,houshe
artillery,artillary
preferably,preferrably
hog,hag
complaining,complanig
hop,hope
cheetah,cheter*3
preferable,preferrable
fanaticism,fanatism
vaccination,vacinnation
outlawed,oulawed
monolithic,monolite
short-tempered,short_tempered
effective,affective
caisson,casion
headquarters,headquoters
season,seson
signatories,signitories
baggage,bagage
orally,erally
snowballs,snow_ball
keeps,keep
restriction,restrici
dreamed,dremd
vary,varie
sunshine,sunshin
Nazareth,Nazereth
fir,fur
unforeseen,unforseen
heretofore,heretofor
secede,seceed
survivors,survivers
coach-load,coach_load
distinguishing,distingishing
insubstantial,insubstancial
hidden,hidon
Him,Im*2
grievous,grievious
interrupt,interupt*2
blink,blnk
eisenhower,eisenhhower
scholar,scholer
represents,repreents
queues,ques
shoelace,shoe_lace
arrow,arow
volcano,volcanoe
dumpy,dunpty
obdurate,obdirate
preceded,preceeded
archetypes,archtypes
garment,garmet
spider,spiter
turnip,turnup
precedes,preceeds
fortnight,fort_night
ring,rings
whip,wip
excepting,exepting
inhabitants,habitants
assured,asured
threatened,thretened
grapes,graps
estimate,estamate
universally,universaly
scruff,scruf
reprimanded,repremanded
dinner-hour,dinner_hour
today's,todays
sallies,sally
instruct,instruck
customization,custamisation
bitten,biten
rhododendron,rhododrendon
similarly,similarily*2
engagement,enagement
perturbations,pertubations
master,mater
architect,archetect
geneva,geniva
snooty,snoty
predictable,predicable
positively,positivly
approximations,appoximations
omnivorous,omniverous
readjusted,reajusted
seminary,seminery
runner,runer
courier,coururier
metallic,metalic
Bang,Bankg*4
amusing,amsing
responsibly,responsably
Jones,Johnes
object,objet
mouth,moth
conceded,conseived
consummate,consumate
nineteenth,ninteenth
marvel,marval
polypropylene,polypropalene
insects,insexs
shuffling,shufarling
bush,buch*2
rich,rick
rice,rise
stammered,stamerd
terrors,terrours
foremost,formost
pocket,poket
foundries,foundaries
cushion,cusion
jaguar,jagaur
boarder,border
patch,pacth
disaster,diaster
fair,fare
peripheral,periferal
fail,fale
nocturnal,nocternal
hammer,hamer
propagates,propogates
preserve,preseve
claws,clors
invigorated,envigorated
extent,exstent
wheelbarrow,wheel_barrow
patented,pattented
chirped,cherped
incense,insense
levitating,levetating
planned,planed*2
unsymmetrical,unsyme
vain,vane
humming,huming
cardboard,cardbord
union,unioun
criticised,critisized
stadium,staydium
incompetent,incompetant
spit,spite
eastern,eastren
lift,left
child,cild
spin,spen
commerce,comerce
adaptations,adaptions
dissect,disect
player,playa
oxymoron,oximoron
demands,diemands
Married,Marrid
middle-aged,middle_age
supper,super
someone's,some_ones
peremptory,preemptory
rescinded,resinded
corporate,corparate*2
plaque,placque
capitol,capital
portrayed,protrayed
succeeding,suceeding
purchased,perchased
sciences,se
thickening,thikning
Connecticut,Conneticut
hat,hot
every_time,everytime
good-humoured,good_humer
confidentially,confidentally
disagreement,dissagreement
unequivocally,unequivocaly
birth,berth
Missouri,Misouri
unique,uneque
occurring,occuring*2
desire,disire
psychological,psycological
steps,staps
malnutrition,manutriction
Ithaca,Ihaca
Swedish,sweedish
creek,creak
crowd,croud*2
crown,croun
insistence,insistance*2
creep,creap
daddy's,dadies
fox,foxx
polluted,poluted
continue,contunie
periphery,perifery
syphilis,syphyllis
pollutes,polutes
pinched,picth
dinner-hours,dinner_hours
dollars,dollers
despair,dispair*3
slightly,slighlty
raised,rased
Feb,Fab
Motorbike,Motor-bikes
facility,facilitie
well-suited,well_suited
son,sun
respectable,respectible
consummated,consumated
sow,sew
wrap,rap
unambiguous,unabiguous
tame,tam
width,with
overhead,overhaed
offer,ofer
fascination,fasantion
talents,tallents
understandable,understadable
beech,beach
safeguard,safegaurd
genealogy,geneology
equalization,equilisation
devices,def
smashed,spached
palm,parm
passenger,passanger
juvenile,juvinille
disgrace,discrase
steady,stedy
proves,prooves
exist,exsist
dealer,dealor
superfluous,superfulous
roll,rol
double-cross,double_cross
asterisk,asterick
scale,skale
rolling,roling
quandary,quandry
good-natured,good_natured
push,puch
breadth,breath
cincinnati,cincinatti
whoever,who_ever
Indians,Indian's
integration,intergration
skate,skat
midst,mist
Ukrainian,Ukranian
philosopher,philisopher
amplification,amification
mache,mashe
cheap,cheep
break_time,breaktime
exact,exsact
settle,settel
prevent,pervent
two-faced,two_faced
attic,atic
candlestick,candle_stick
essence,essense
celebrated,celebrate
melt,malt
current,curent
extraterrestrial,extraterrestial
chrysanthemums,chrisanthimums
falling,folling
badge,bage
jury,jurry
honour,honer
My,By
momentous,momentus
dusty,duste
commonly,commongly
proclamation,proclomation
studies,studys
radish,raddish
grandpa's,grandpas
crammed,cramp
homesick,homsick
dangle,dongle
predictions,pe
vigour,vigeur
wood,wod
opposed,apposed
wondering,wondring
films,firms
loving,loveing
appendix,apendix
believed,beleived*2
detached,detatched
stockroom,stock_room
lodestone,loadstone
weasels,weazles
sacrament,sacrement
unequalled,unequaled
monitoring,monitering
thanking,thinking
elephant,elphant
extensions,extions
parameter,parametic
elbow-grease,elbowgrease
rehabilitate,rehabilatate
explored,expord
cockamamie,cocamena
varieties,varities
wheelchair,wheel_chair
swollen,swolen
definitions,defenitions
innocuous,inocuous
archeologist,archeaologist
Slaughterhouse,Slaughthouse
flips,frips
quarrelled,quarelled
deity,diety
tendency,tendancy*2
tore,tor
solitary,solatary
thumb,thum
internationally,internationlly
hymn-books,hymn_books
troubles,trubbles
councillor,councellor
attraction,atraction
constitutes,constitit
petition,petetion
apron,apon
civilian,civillian
matches,maches
records,rocords
compelled,compeled
subscribers,suscribers
twilight,twlight
phenomenally,phenomenonly
splinters,spliters
Stanley,Stanlay
quarter,quater
turtle,turtel
breakthrough,breakthough
frames,frame
owing,oweing
sponsor,sponser
canvas,canvis
interned,intended
Michigan,Michagan
investigation,investagation
disintegrated,desintegrated
hairdresser,hair_dreser
siege,seige*2
million,millon
seventh,seven
striven,strived
complicated,compicated
plea,plie
grandma,grandna
remainder,remander
seventy,seventee
patronage,part
modest,modist
initiate,intitate
silhouettes,slih
recompense,recompence
emotion,emition
saving,saveing
architecturally,archetecturally
clause,claws
Royal,Royl*6
cloakroom,cloak_room
affords,effords
exaggerations,exagerations
Monday,Munday
thirdly,thirdy
bite,bit
structured,stuctured
under_ladder,underladder
indicate,indecate
draft,deaft
dissipate,disippate*2
structures,structurs
Sept,Sep
depressed,depresed
coats,coots
Athenians,Atheneans
unfit,unfitt
in_front,infront
counselor,councellor
janitor,janiter
prospect,propect
alley,ally*2
say,said*2
get_out,get
sat,set
coliseum,colosium
aside,addise
maintain,mantain
vandals,vandles
ironically,ironicly
molecule,moleul
serval,cervial
printed,prented
crochet,croshay
knee,nee
personalty,personality
pages,pagis
adaptability,adaptibility
Portuguese,Portugese
average,avarage
drive,driv
Comment_allez-vous,Comatalevous*2
murmurs,murmers
pencilled,penciled
infuriate,enfuriate
merit,merrit
peaches,peches
scarce,scarse
weapons,wepons
slow,slo
gourd,gaurd
cloak,clock
hockey,hocky
congressional,congresional
dispute,disput
awaiting,awaitin
an_hour,anhour
artist,artest
parasitic,saresitic
cochlea,ch
priest,preist
bee-keepers,bee_keepers
worries,worre
surgery,surgere
receivers,recievers
kilometer,lilometer
bureau,beauro
enjoys,enyays
cantaloupe,cantaloube
vertical,verticle
aberration,aberation
screen,seveen
suppresses,supresses
revealed,revealled
gratefully,greatfully
in_between,inbetween
concentrated,consentrated
mans,masn
classroom's,class_rooms
besieging,beseiging
concentrates,consentrates
expression,expresion
allowance,allowence
yearly,yearley
twin,twen
comeback,comback
geese,gees
buoyancy,bouyancy
considers,conciders
caring,careing
comb,come
unconsciousness,unconciousness
west,wast
locally,localy
concede,consede
almighty,almity
unsafe,unsf
extant,extint
calligraphy,caligraphy
prominence,prominance
straighten,straiten
constituency,consituency
all-round,all_round
unhygienic,unheigenic
barbed,barb*2
sickness,sicknes
defy,defie
advertisement,advertisment*2
volcanoes,volcanos
vacant,vacent
tentacle,tenacle
genii,genei
grumpy,grumby
Botswana,botuania
summer,sumer
manifold,many_fold
truculent,trucculent
rest,rast
steamer,stemer
omissions,ommissions
weekly,weakly
generator,generrater
aspects,spects
decomposed,decomposited
knobbly,nobbly
bandage,bandge
postal,postel
decomposes,decomposits
unrepentant,unrepentent
nutrients,nutritents
souvenirs,souveniers
discarded,discare
stationary,stationery
supplementary,suplementary
thinks,thikns
there'll,therell
noon,non
endocrine,endochrine
refer,refere
accessing,accesing
intimate,intermit
in_spite,inspite
stone,ston
disabilities,dissabiliteys
luck,lock
rabbinical,rabinnical
burning,buring
legged,leged
accumulated,acumulated
series,serious
water-rat,waterrat
bubble,buble
yearned,yerned
complete,compleat
beginners,begginers
impedance,impedence*2
mice,mise
rush,ruch
monopoly,monapaloy
dispensing,dispencing
agree,agre*2
detailed,detailled*2
gratuitous,gratuitious
accents,achsends
Cinderella,Cinderrella
hobbies,hobbys
creak,creek
cream,crem
ideally,idealy
graduate,graguate
tight,tite
Watson,watston
puppy,pupy
contemporaries,contamporaries
spermatozoa,spermatozoan
tiger,tigar
partitioned,petitioned
impossibility,impossibilty
mass,mas
Canada,Canda
beware,bewere
Caesar,Ceasar
causes,cases
particles,particals
walkie-talkie,walky-talky
caveats,cravets
hunting,hanting
scratch,scrach
smile,smil*2
case,cace
baton,batton
puzzles,puzzle
manageable,managable
condition,condidtion
ingratitude,ingratitoode
Toby,Tobe
sand,sant
adjust,ajust
small,smal
mammal,mamal
ninetieth,nintieth
form-room,formroom
honourable,honerable
rye,rey
trick,trik
clock,clok
poisonous,poisenous
nurse,nuse
method,methed
strata,strat
hamster,hapster
social,socal
murdering,mudering
followed,fellowed
sherbet,sherbert
select,celect
archived,achived
attendance,attendence*2
britannia,britania
good-tempered,good-temper
unrecognizable,unrecocniseable
reminiscing,reminising
frogspawn,frogsporn
housebreaking,house_braking
cunning,conning
sizing,siezing
keeping,kepping
male,na
civilizations,civilations
prompt,promt
dislikes,deslike
gallon,galin
disliked,dislike
dress,dres
bonded,bonding
condemn,condem
shipped,shiped
relinquished,relingushed
pogrom,progrom
creature,creture
plant,plat
countryside,country_side
variant,vairiant
mended,meted
conveniences,conveniances
plank,planck
imagery,imaginery
rowdy,roudy
broadcasting,bradcasting
RSX,rsx
incessantly,incessently
reminded,remined
stylus,stilus
smiling,smilin
boomerangs,boomaranges
team-games,team_games
bypass,bipass
pickerel,pickeral
abandons,abondons
prefect,prefact
snowball,snow_ball
weedy,weedey
reticent,retecent
hereafter,hearafter
kind_manneredly,kind_manerdly
coping,copping
aggrieved,agrieved
lantern,lanturn
begged,beged
reduce,reduse
gaoler's,gaolers
peripatetic,peripathetic
exorbitant,exhorbitant
investigated,investegated
operation,opperation
penicillin,penecillin
shepherdess,sheperdess
missel,missle
meteorological,meterological
seizures,siezures
Rockefeller,Rockerfeller
conditioning,conditining
murmur,murmer
rises,re
misogyny,mysogyny
octahedron,octohedron
expedient,exspidient
corrugated,corrigated
reversing,revrsing
forwards,for_wards
belligerent,beligerant
slipper,sliper
ironing,irning
guess,ges
tadpoles,tadpolls
guest,gest
mizzen,missen
essays,essay's
ethos,ethose
immediate,imediate
appreciation,apreciation
secretarial,secutereal
determines,detrmines
getaway,geter_way
runners-up,runners_up
annihilation,anihilation
beforehand,before_hand
It,I*5
graffiti,grafitti
blond,blonde
jeopardize,jeprodise
commemorated,commmemorated
mangels,manggles
retired,returded
blackboard,black_board
effecting,effectinge
unused,unsed
on_to,onto
cover,cuver
researchers,rea
administrate,adminstrate
barrel,barrle
amusements,amusments*2
dragged,draged
despise,dispise
cruises,crusies
accommodations,accomodations*2
aghast,agast
freight,frieght
bookstand,booksand
writer,writter
sacrilege,sacralige
cassette,casette
factor,facter
atheistic,atheistical
quizzes,quizes*2
constituent,constituant
adheres,adhere
remedy,remidy
synchronization,syncorization
closely,closly
compass,compurs
frightening,frighteing
delving,delvin
sleeve,sleave
strictest,strictist*2
well-off,well_off
harassing,harrasing
river,rever
sex,ses
see,se*3
sea,see*5
shower,shour
spirits,sperits
compliment,complement
sparsely,sparcely
ripper's,ripper
renewed,renewded
signatory,signitory
interface,inerface
legislature,legeslature
improved,inproved
influential,influencial*2
barely,barly
improves,impo
let,lat
approve,aprove
blaze,blase
loaf,lofe
electrician,elecenician
pendulum,pendelum
loan,lone
northeastern,northereastern
hollow,holow
pronominal,pronomial
agents,agenst
devil,devel
conveyor,conveyer
acceptance,acceptence
assassinates,assasinates
hitting,hiting
assassinated,assasinated
resting,resing
counselling,councelling
bitchy,bitchey
fund,found
races,rases
awake,awak
systematic,systermatic
She's,She
judicial,judical
admire,addmire
Miss,mis
robin,robbin
pound,pond
calculator,calculater
virtually,vertually
survey,survay
knitting,nitting
flooded,flodded
deformity,deformaty
levels,levals
cucumber,cucomber
nickname,nick-name
stack,stake
recent,resent
canned,caned
residing,reciding
clearance,cleareance
leone,lione
telegram,telagram
layby,la-by*2
admission,addmission*2
interregnum,interrugum
advertisements,advertisments
burin,buring
location,loction
crying,cring
relevance,relevence
input,inut
defiantly,defenly
shove,shuve
emergency,emergancy
Oh,Ow*3
emanating,eminating
high-ranking,highranking
suffering,suufering
enumerable,inumerable
consensus,concensus*3
stylish,styleish
pertaining,pertaning
spring,sping
battalion,batallion*2
transactions,trasactions
even_though,eventhough
temple,tempel
performed,performes
agreement,aggreement*2
nowhere,no_where
analysing,aalysing
hatchet,hachet
hatches,hachess
hatched,hached
repair,repare
terrorists,teroists
democrat,democrate
a-quiver,aquiver
controversies,controveries
primarily,pimarily
contributor,contributer
criticisms,critisisms*2
bargaining,baragining
Smoking,Smocking
considerably,considerable
inches,inchs
relaxed,relax
pastor,paster
slums,sulmss
line,lin
peeped,peped
resistible,resistable
verification,verfication
spectroscopy,spectoscopy
medical,medical
supervisor,supervisser
defined,deffined
presided,prisided
Outside,Out_side
diverse,diversed
surveying,servaying
graceful,gracefull
uranium,uranisium
invalid,invilid
sailor,sailer
rabies,rabbies
besiege,beseige
oblige,oblidge
worsened,worstened
land,lat
algorithm,algoritm
age,ag
enrolled,enroled
fresh,freash
playtimes,play_times
results,result
gossip,gosip
windowsill,window_sill
citing,cisting
rejoined,reg
dyeing,dieing
dislike,disliked
carelessly,carlessly
jurisdiction,juridiction
susceptible,suseptible
mare,mear
continued,contuned
wipe,wip
transmission,ransmission
race,rase
athlete,athlette
terrifies,terrify's
cannibals,canniballs
licensed,licenced
crook,cork
temperate,temparate
Farmer,Frameman
wheat,weat
odd,ard
polluting,poluting
proffer,profer
firms,ferman
guinea-pigs,guinea_pigs
bird,brid*3
scenery,senery
sub-prefect,subpreyfect
eminently,emminently
gathered,gatherd
poverty,povety
untidiness,untideness
vinegar,vinigar
earwigs,eyewigs
fetch,fech
resulting,reulting
defeat,defeet
residents,recidents
Pekinese,pikaness
innocence,inocence
assemble,assemple
sugar,suger*2
confidence,confedence
chocolates,chocalates
druggies,drugies
eleven,elven
lodgment,lodgement
shipwreck,ship_wreck
infamy,imfamy
carrying,carring*2
labelled,labeled
rubbish,rubish
gladly,glady
charity,charaty
pejorative,perjorative
pour,pore
choirboy,choir_boy
scatter,scater
slid,slided
Police,Pollce
bent,bant
process,proccess*2
lock,loack
rode,rod
bend,band
slip,slep
weaken,wicken
ideology,idealogy
hydrophilic,hydropilic
rhubarb,ruhbarb
delay,deley
singular,singulaur
await,awate
notebook,note_book
preferring,prefering
cabbage,cabbge
hawk,hark
autograph,autgraph
varied,vqried
undernourished,under_norished
counter,conter
reminders,remnders
redundant,redundent
One,Won
allot,alot
allow,alow
pyramids,pyar
move,omve
perfect,perfact
mistletoe,mistlitoe
dispose,despose
meantime,mentime
heart-rending,heartrendering
hobby,hobbie
kiss,kis
presidential,presidental
expels,expells
mum's,mums*2
electrically,electricly
exacerbated,exerbated
beginner,begginer
thirteen,therteen
agriculture,agraculture
goalkeeper,goal_keeper
witness,wittness
fundamentally,fundementally
allophones,allopones
troop,troup
spill,spil
transferable,transferrable
dismantles,dismantals
receding,receeding
gamekeeper,gamekeeps
scene,seen
owned,oned
straining,strainin
collages,colloges
brimful,brim_full
self-opinionated,self-opiniated
traveller,travler
opossum,opposim
decorations,decrotions
exhilarating,exhilirating
grated,grete
interests,interrests
enforcement,inforcement
accompany,acompany
shorts,short
grandpa,grandpar
cabbage-looking,cabbage_looking
steel,steal
dead-end,dead_end
extraordinarily,extrordinarily
appealing,appealling
negatively,negitively
collecting,collecyting
have_to,haveto
beggar,begger
a_few,afew
gentle,gentel
dishes,diches
connived,conived
chief,cheif*2
decomposing,decompositing
lily,lilly
persistence,persistance
tyrannical,tyranical
Samaritan,Samariton
Dog's,Dog
device,divice*2
hypocrite,hypocrit
Joyce's,Joyce*2
tramps,trmp
metaphysical,pataphysical
thanksgiving,thankgiving
unscramble,unscamble
mechanical,machanical
fact,fackt
assassinations,assasinations
monasteries,monestaries
dependant,dependent
disbanded,disembared
infants',enfants
bedroom,bedroon
trivial,triveal
pause,paws
Meanwhile,Mean_while
jaw,jor
tape,tipped
molecules,moleculs
secretaries,secutaries
hope,hop*2
insight,insite
handle,handel
prohibition,prohabition
blackcurrants,blackcurrents
Once,Ones*2
contemptible,contempible
victuals,vituals
allusion,alusion
carboniferous,carbonferous
couturier,coururier
megabytes,egabytes
derogatory,derogitory
interchangeably,interchangably
buffalos,buffaloes
courtyard,court_yard
staring,stearing
drum,durm
invited,envited
Cheerio,Cheere_ho
drug,drog
etc,ect
Christ,Crist
Her,Here
defiance,definance
indict,indite
allocated,alicated
carnivorous,carniverous
attainder,attaindre
drank,drak
Durex,Durxer
feather,fether
pity,pitty
pedantry,pendantry
runway,runaway
bathtub,bath_tub
discoveries,discovers
ripe,rip
site,sitte
hardware,hardwear
excessively,exessively
adultery,adultry
tattoo,tatoo
terrorist,territorist
painstaking,paintaking
outbreak,outdrak
covenant,convenant
nationally,nationaly
forecasts,forcasts
proficiency,proficiensy
dust,dost
at_least,atleast
fielder,fiedler
command,comand
administered,admiistered
diphtheria,diptheria
drawing,drawin
snake,snak
rooms,rome
generous,generious
arrest,arest
combine,comibine
crack,crak
mannered,manerd
practise,practice
fairies,fairy's
decidable,decideable
haul,hall
five,fiv
incessant,incesant
crisp,cresp
onion,onin
imprison,imprisons
need_not,neednot
replacement,replasments
poor,por
Macwilliams,macwillaims*2
foreseeable,forseeable
immortal,imortal
There's,There
asynchronously,asyncronously
ballot,ballet
shone,shon
her_a,hera
therapists,threapists
forgiven,forgivon
biology,biolagy
blowing,bloing
voluptuous,volumptuous
invertebrates,invertibrates
peas,pes
pressure,presure
targeting,targetting
loans,lones
gained,ganed
sister,siter*2
drumming,druming
recur,reoccur
whistled,wisheld
self-made,self_made
playing-fields,playing_fields
Nose,Nos
obbligato,obliggato
mere,mear*2
larvae,lavae
housing,houssing
disapproval,disaproval
function,fuction
cosmopolitan,cosmoplyton
delivery,delievery
washerwoman,washawoman
apollo,appolo
basin,bassin
count,cont
Bicycle,Bicyle
places,plases
smooth,smoth
placed,plased
convince,convience
profusion,profesion
nurses,nurse's
dissemination,disemination
effected,aff
renowned,reknowned*2
efficacy,efficity
salesman,sailsman
scholarly,scholarstic
details,detals
suppress,supress*2
incorrigible,incorigible
monday,mond
footprints,foodprints
anal,anual
coloration,colouration
matrix,matriiix
ghost,goast
rule,rulle
mercenary,mercanery
consolidated,consolodated
personally,persnaly
nursery,nusey
oldest,olddis
stinks,sticks
Ranger,Rango
wreath,reath
merchantmen,merchantment
distort,distart
women's,womens
lecture,lectur
electronics,electrict
abhorrence,abhorence
progression,progresion
announced,anounced
chew,chow
galas,gala's
midsummer,midsummer's
colloquialism,colloquilism
rigorous,rigourous
levitate,levetate
specs,spec's
phoned,phone*3
alsatian,alsation
established,establise
churches,churchs
consisting,consisiting
bookcase,book_case
pursuit,persuit*2
ploughed,ploud*2
paraffin,parrafin
celebration,celabration
obtained,obtain
daughter,dauter
items,itims
tankard,tanker
Pyrenean,Pyrannean
archaeological,archeological
glance,glacnce
total,totle
world's,world
separated,seperated*2
aware,awear
separates,seperates
indent,ident
worm,worme*2
worn,warn
mammalian,mamalian
mechanic,macanic
ascetic,asetic
pollute,polute
tornadoes,tornados
recovery,recofey
bandaging,banjind
beach,beech
fever,feaver
bared,barred
suing,sueing
law,lor
lap,lape
nipped,niped
alienate,allienate
greet,great
encompassing,encompasing
green,gren
woollen,woolen
office,ofice
satisfied,satisfyed
plastics,plastis
satisfies,satifies
mayor,mayer
What's,What*2
recreational,recrational
Whoever's,Whos_evers
production,productions
contaminate,contaiminate
roommate,roomate
rocks,roks
sled,slad
flock,flok
Presbyterian,presbyterian
diesel,disel
forty,fourty*2
forth,fourth
dishwashers,diswh
campaigns,campains*2
unconvinced,unconviced
appointments,apointments
people's,peols
forcibly,force
mutilate,mutalate
lollipop,lollypop
shrubbery,shrubery
Cambridge,Cambrige*2
created,creaeted
creates,creats
renew,renue
incorporated,incorporatd
home-made,homemade
Cooper,Copper
render,rander
synonymous,synonomous*2
Guatemalan,Guatamalan
antarctic,antartic
illustrate,ilustrate
confectionery,confectionary
compromise,comprimise
john,johhn
corresponded,corrisponded
scenes,seens
unmistakable,unmistakeable
solely,soley
self-confident,self_confident
rewrite,rewriet
forced,forsed
Christian,Christain
latter,later
pilgrimage,pilgrimmage
completed,compleated
gravy,gravey
exercised,excerises
involving,invlving
grave,crave*2
inferred,infered
swamp,swap
mass_media,massmedia
accompaniment,accompanimen
voting,voteing
magnolia,magolia
reserve,resurve
heuristics,heuritics
nephew,nefue
toast,tost
guidance,guidence*2
deepest,deapest
rectangle,rectangeles
predecessor,precedessor
colleagues,collegues
degradation,degredation
happiest,happeist
suffrage,sufferage*2
bandwidth,bandwith
crucifixion,crucifiction*2
steak,stack*3
erroneous,errounous
Caracas,carcas
swimwear,swim_wear
symmetric,symmetral
shields,sheilds
accord,acord
rudimentary,rudemtry
handful,handfull
stealing,stelling
climate,climet
coy,cpoy
Britain,Britian
bran,brain*2
Sistine,Sixtin
ingenious,ingeneous
royal,royle
seizure,siezure
Ireland,Irland
gratitude,graditude
a_look,alook
engines,egreers
slimmest,slimest
condemned,condemmed
exceeded,excedded
chimneys,chimnies
flexible,flexable
duties,dutys
spermatozoon,spermatozoan
plebeian,plebian
attacked,atacked
coherent,coherant
skinheads,skin_heads
east,est
publicly,publically*2
aim,ame
aid,ade
characterizing,characterissing
mistake,misstake
Badcock's,badcock
sting,steng
audrey,audre*4
primitively,primatively
comparative,comparitive*2
girls',girl
punctuation,puntuation
descend,decend
indictment,inditement
wheel,weel*3
fuss,fus
swell,swel
hand,hande
watercolours,water_colours
blamed,blaimed
soak,soke
client,cleint
humbly,humly
pronouncements,pronouncments
stringent,stingent
athletic,atheletic
photo,phto
thanks,thank
victim,victom
swears,swaers
electronically,electronicly
shout,showt
belongs,belong
board,bord
expelled,exspelled
well_as,will
boxes,boxs
cape,kape
progresses,progressess
rustle,rusall
competence,competance
accuracy,acuracy
Frogmen's,Frgmens
eyeing,eying
hassle,hassel
confusing,confusin
congratulate,congradulate
big-head,big_head
comments,coments
nuzzled,nozled
honoured,honered
beating,beting*2
hare,hace
marketing,marketting
illustration,illustartion
binomial,binominal
architectural,archetectural
post,past
coral,corral
situated,situtated
propagate,propogate
octopus,octapus
croak,croke
dilemma,dilema
wasting,wadting
prisoners,prsioners
after_a_while,afterawhile
usefulness,usefullness
balanced,ballanced
sovereign,soverign
clinical,clincial
war,wor
lowest,loest
scribbling,scribling
elderly,eldely
absent,apsent
maximum,maxium
emotional,emothional
Carthaginian,Carthagian
abstract,abse
religiously,religously
evidence,evedence
enlist,Enlish
archive,achive
physical,phisical
holding,holing
heyday,heydey
artificially,artifically
brothers,brother
welcome,wellcome
improvisation,improvision
let's,lets*6
assiduous,assidious
ninetyninth,nintynineth
reception,reseption
concept,consept
impulse,impurs
switched,switch
Cynthia's,Cynthia
hurry,hury
flash,flass
electron,electon
jogged,joged
division,divison*2
alumnae,alumni
anonymous,anynomous
aggressively,agressively
flammable,flamable
free-going,free_going
gun,gon*2
sidewalk,sidwalk
unequipped,unquped
brave,brav
detonated,detenated
repetitive,repetative
niggardly,nigardly
cost,cast
scarcity,scarsity
in_fact,infact*2
cargo,cargow
a_while,awill
appeal,apeal
Libya,Lybia
goldfish,gold_fish
teaches,teset
change,chang
pedals,pedels
precursor,precurser
bald_eagle,bald-eagle
trial,trail
pillow,pilow
regardless,irregardless*2
bad_one,budra
uphill,upwill
softy,softee
controls,controlls
prove,proove
